index	seqName	clade	qc.overallScore	qc.overallStatus	totalSubstitutions	totalDeletions	totalInsertions	totalFrameShifts	totalMissing	totalNonACGTNs	totalAminoacidSubstitutions	totalAminoacidDeletions	totalAminoacidInsertions	totalUnknownAa	alignmentScore	alignmentStart	alignmentEnd	coverage	cdsCoverage	isReverseComplement	substitutions	deletions	insertions	frameShifts	aaSubstitutions	aaDeletions	aaInsertions	privateNucMutations.reversionSubstitutions	privateNucMutations.labeledSubstitutions	privateNucMutations.unlabeledSubstitutions	privateNucMutations.totalReversionSubstitutions	privateNucMutations.totalLabeledSubstitutions	privateNucMutations.totalUnlabeledSubstitutions	privateNucMutations.totalPrivateSubstitutions	privateAaMutations.reversionSubstitutions	privateAaMutations.labeledSubstitutions	privateAaMutations.unlabeledSubstitutions	privateAaMutations.totalReversionSubstitutions	privateAaMutations.totalLabeledSubstitutions	privateAaMutations.totalUnlabeledSubstitutions	privateAaMutations.totalPrivateSubstitutions	missing	founderMuts['clade'].nodeName	founderMuts['clade'].substitutions	founderMuts['clade'].deletions	founderMuts['clade'].aaSubstitutions	founderMuts['clade'].aaDeletions	unknownAaRanges	nonACGTNs	qc.missingData.missingDataThreshold	qc.missingData.score	qc.missingData.status	qc.missingData.totalMissing	qc.mixedSites.mixedSitesThreshold	qc.mixedSites.score	qc.mixedSites.status	qc.mixedSites.totalMixedSites	qc.privateMutations.cutoff	qc.privateMutations.excess	qc.privateMutations.score	qc.privateMutations.status	qc.privateMutations.total	qc.snpClusters.clusteredSNPs	qc.snpClusters.score	qc.snpClusters.status	qc.snpClusters.totalSNPs	qc.frameShifts.frameShifts	qc.frameShifts.totalFrameShifts	qc.frameShifts.frameShiftsIgnored	qc.frameShifts.totalFrameShiftsIgnored	qc.frameShifts.score	qc.frameShifts.status	qc.stopCodons.stopCodons	qc.stopCodons.totalStopCodons	qc.stopCodons.score	qc.stopCodons.status	totalPcrPrimerChanges	pcrPrimerChanges	failedCdses	warnings	errors
0	NC_077806.1 |Mammarenavirus choriomeningitidis																																																																																When processing sequence #0 'NC_077806.1 |Mammarenavirus choriomeningitidis': When calculating seed matches: Unable to align: seed alignment covers 3.32% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
3	NC_078293.1 |Mammarenavirus kitaleense																																																																																When processing sequence #3 'NC_078293.1 |Mammarenavirus kitaleense': When calculating seed matches: Unable to align: seed alignment covers 4.95% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
2	NC_078105.1 |Mammarenavirus alashanense																																																																																When processing sequence #2 'NC_078105.1 |Mammarenavirus alashanense': When calculating seed matches: Unable to align: seed alignment was unable to find any matches that are long enough. Only matches of at least 40 nucleotides long are considered (configurable using 'min match length' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
10	NC_038366.1 |Mammarenavirus solweziense																																																																																When processing sequence #10 'NC_038366.1 |Mammarenavirus solweziense': When calculating seed matches: Unable to align: seed alignment covers 5.60% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
5	NC_078698.1 |Mammarenavirus kwanzaense																																																																																When processing sequence #5 'NC_078698.1 |Mammarenavirus kwanzaense': When calculating seed matches: Unable to align: seed alignment covers 4.99% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
12	NC_039011.1 |Mammarenavirus cameroonense																																																																																When processing sequence #12 'NC_039011.1 |Mammarenavirus cameroonense': When calculating seed matches: Unable to align: seed alignment covers 6.06% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
11	NC_039010.1 |Mammarenavirus ryukyuense																																																																																When processing sequence #11 'NC_039010.1 |Mammarenavirus ryukyuense': When calculating seed matches: Unable to align: seed alignment covers 7.28% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
7	NC_055440.1 |Mammarenavirus xapuriense																																																																																When processing sequence #7 'NC_055440.1 |Mammarenavirus xapuriense': When calculating seed matches: Unable to align: seed alignment covers 2.84% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
14	NC_027137.1 |Mammarenavirus okahandjaense																																																																																When processing sequence #14 'NC_027137.1 |Mammarenavirus okahandjaense': When calculating seed matches: Unable to align: seed alignment covers 6.14% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
16	NC_026019.1 |Mammarenavirus wenzhouense																																																																																When processing sequence #16 'NC_026019.1 |Mammarenavirus wenzhouense': When calculating seed matches: Unable to align: seed alignment covers 7.94% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
8	NC_040763.1 |Mammarenavirus aporeense																																																																																When processing sequence #8 'NC_040763.1 |Mammarenavirus aporeense': When calculating seed matches: Unable to align: seed alignment covers 2.22% of the query sequence, which is less than expected 9.00% (configurable using 'min seed cover' CLI flag or dataset property). This is likely due to low quality of the provided sequence, or due to using incorrect reference sequence.
